6666,09-09-2010,17:19:02,SetA
 7 ,"$10 in 365 days"
 8 ," $8.50 now"
 9 ," $6.00 now"
 10 ," $6.00 now"
 11 ," $7.00 now"
 12 ,"$10 in 30 days"
 13 ,"$10 in 30 days"
 14 ," $4.50 now"
 15 ,"$10 in 7 days"
 16 ,"$10 in 30 days"
 17 ," $4.50 now"
 18 ," $1.50 now"
 19 ," $1.00 now"
 20 ,"$10 in 30 days"
 21 ,"$10 in 365 days"
 22 ,"$10 in 180 days"
 23 ," $5.00 now"
 24 ,"$10 in 7 days"
 25 ,"$10 in 30 days"
 26 ,"$10 in 7 days"
 27 ,"$10 in 30 days"
 28 ,"$10 in 365 days"
 29 ," $6.00 now"
 30 ," $10.00 now"
 31 ,"$10 in 30 days"
 32 ,"$10 in 180 days"
 33 ,"$10 in 30 days"
 34 ,"$10 in 7 days"
 35 ," $5.50 now"
 36 ," $10.50 now"
 37 ,"$10 in 365 days"
 38 ,"$10 in 365 days"
 39 ,"$10 in 365 days"
 40 ,"$10 in 30 days"
 41 ,"$10 in 7 days"
 42 ,"$10 in 7 days"
 43 ," $1.50 now"
 44 ," $9.00 now"
 45 ," $10.50 now"
 46 ," $10.00 now"
 47 ," $5.00 now"
 48 ," $10.50 now"
 49 ," $1.00 now"
 50 ," $10.00 now"
 51 ,"$10 in 30 days"
 52 ," $9.00 now"
 53 ," $8.00 now"
 54 ," $6.50 now"
 55 ,"$10 in 365 days"
 56 ,"$10 in 90 days"
 57 ," $7.00 now"
 58 ,"$10 in 30 days"
 59 ,"$10 in 30 days"
 60 ," $9.50 now"
 61 ,"$10 in 90 days"
 62 ,"$10 in 365 days"
 63 ,"$10 in 90 days"
 64 ,"$10 in 180 days"
 65 ,"$10 in 90 days"
 66 ,"$10 in 180 days"
 67 ," $3.50 now"
 68 ,"$10 in 7 days"
 69 ,"$10 in 7 days"
 70 ,"$10 in 365 days"
 71 ,"$10 in 90 days"
 72 ,"$10 in 365 days"
 73 ," $7.00 now"
 74 ,"$10 in 180 days"
 75 ,"$10 in 180 days"
 76 ,"$10 in 180 days"
 77 ,"$10 now"
 78 ,"$10 now"
 79 ,"$10 in 365 days"
 80 ,"$10 in 90 days"
 81 ,"$10 in 7 days"
 82 ,"$10 in 7 days"
 83 ," $4.00 now"
 84 ,"$10 in 180 days"
 85 ,"$10 in 365 days"
 86 ,"$10 in 7 days"
 87 ," $10.50 now"
 88 ,"$10 in 7 days"
 89 ,"$10 in 7 days"
 90 ,"$10 now"
 91 ,"$10 in 30 days"
 92 ," $10.00 now"
 93 ,"$10 now"
 94 ," $8.00 now"
 95 ,"$10 now"
 96 ,"$10 now"
 97 ,"$10 now"
 98 ," $8.50 now"
 99 ,"$10 now"
 100 ,"$10 in 90 days"
 101 ," $7.50 now"
 102 ,"$10 in 7 days"
 103 ,"$10 in 90 days"
 104 ,"$10 in 365 days"
 105 ,"$10 in 30 days"
 106 ,"$10 in 365 days"
 107 ,"$10 now"
 108 ,"$10 in 30 days"
 109 ,"$10 now"
 110 ,"$10 in 90 days"
 111 ,"$10 in 180 days"
 112 ," $3.00 now"
 113 ," $6.00 now"
 114 ," $2.50 now"
 115 ," $6.00 now"
 116 ," $10.50 now"
 117 ," $6.00 now"
 118 ,"$10 in 90 days"
 119 ," $7.00 now"
 120 ,"$10 in 7 days"
 121 ,"$10 in 90 days"
 122 ,"$10 in 7 days"
 123 ,"$10 now"
 124 ,"$10 now"
 125 ," $6.50 now"
 126 ," $9.00 now"
 127 ,"$10 in 180 days"
 128 ,"$10 in 90 days"
 129 ,"$10 now"
 130 ,"$10 in 7 days"
 131 ," $3.50 now"
 132 ," $7.50 now"
 133 ,"$10 in 90 days"
 134 ,"$10 in 180 days"
 135 ," $10.00 now"
 136 ," $10.00 now"
 137 ,"$10 now"
 138 ,"$10 in 30 days"
